OBJECTID_1,OBJECTID,HUC_10,HU_10_NAME,ACRES,SHAPE_Leng,SQ_MILES,LABEL,Shape_Length,Shape_Area
1,"1,141",1710020402,Big Elk Creek,"56,850.881428100001000",0.926431019076000,88.9000015, ,"277,420.079971528200000","2,477,143,355.366052600000000"
2,"1,142",1710020403,Lower Yaquina River,"50,674.487471599998000",0.782635873403000,79.1999969, ,"239,246.250739057370000","2,207,923,967.852909100000000"
3,"1,143",1710020404,Upper Siletz River,"44,482.946909699996000",0.851475038345000,69.5000000, ,"251,672.874890803590000","1,938,464,568.027819400000000"
4,"1,145",1710020406,Rock Creek,"27,574.091895500002000",0.623523979553000,43.0999985, ,"187,975.937051335440000","1,201,544,409.229514400000000"
5,"1,146",1710020407,Lower Siletz River,"122,332.366662000000000",1.490353403000000,191.1999969, ,"447,426.324126682240000","5,330,535,351.210238500000000"
6,"1,147",1710020408,Salmon River,"47,590.193340999998000",0.871887076955000,74.4000015, ,"255,043.900806918270000","2,073,886,026.102031200000000"
7,"1,149",1710020501,Upper Alsea River,"81,277.261059400000000",1.183961329650000,127.0000000, ,"361,225.879017880360000","3,541,520,326.343184900000000"
8,"1,151",1710020503,Drift Creek,"44,315.767316799996000",0.810599246965000,69.3000031, ,"240,051.039037446640000","1,930,862,162.786126400000000"
9,"1,152",1710020504,Lower Alsea River,"99,652.839963399994000",1.494234136580000,155.6999969, ,"446,401.584834474840000","4,341,942,955.398498500000000"
10,"1,153",1710020505,Beaver Creek,"42,502.006509100000000",1.232881595260000,66.4000015, ,"388,278.837463632920000","1,851,756,989.256712900000000"
11,"1,155",1710020507,Tenmile Creek,"69,251.235241799994000",1.073497491480000,108.1999969, ,"334,191.701587578400000","3,017,116,565.619102500000000"
12,"1,156",1710020601,Wolf Creek,"37,892.172815999998000",0.835529375038000,59.2000008, ,"243,856.129750882220000","1,651,146,553.499133600000000"
13,"1,158",1710020603,Upper Siuslaw River,"127,648.548345000000000",1.893801397670000,199.5000000, ,"562,493.530730947850000","5,562,373,125.189688700000000"
14,"1,160",1710020605,Indian Creek,"30,795.053066199998000",0.661167094547000,48.0999985, ,"202,229.168538834750000","1,341,747,948.244030200000000"
15,"1,162",1710020607,North Fork Siuslaw River,"42,061.820381799997000",0.784428711602000,65.6999969, ,"241,957.225388783380000","1,832,589,966.530435600000000"
16,"1,163",1710020608,Lower Siuslaw River,"110,486.584821000000000",1.730408604660000,172.6999969, ,"523,380.308196545290000","4,813,970,888.771044700000000"
17,"1,164",1710020701,Siltcoos River,"83,414.895519199999000",1.182578453770000,130.3999939, ,"376,101.169915497070000","3,634,331,318.105877400000000"
