col.num,var,na.count,fss1.rf_keep,fss2.rf_keep,pctfn.rf_keep,pctsa.rf_keep,pctsafn.rf_keep,oe.rf_keep
1,SVN,0,0,0,0,0,0,0
2,NHDP21_COMID,6,0,0,0,0,0,0
3,STATION_KEY,0,0,0,0,0,0,0
4,rid,0,0,0,0,0,0,0
5,POURID,0,0,0,0,0,0,0
6,SITE_NAME,0,0,0,0,0,0,0
7,HU_6_NAME,0,0,0,0,0,0,0
8,HU_8_NAME,0,0,0,0,0,0,0
9,HU_10_NAME,0,0,0,0,0,0,0
10,HU_12_NAME,0,0,0,0,0,0,0
11,HU_08,0,0,0,0,0,0,0
12,HU_10,0,0,0,0,0,0,0
13,HU_12,0,0,0,0,0,0,0
14,LONG_RAW,0,1,1,1,1,1,1
15,LAT_RAW,0,1,1,1,1,1,1
16,NHDHigh,0,0,0,0,0,0,0
17,NHDh_ReachCode,793,0,0,0,0,0,0
18,NHDP21_ReachCode,6,0,0,0,0,0,0
19,NHDP12_COMID,0,0,0,0,0,0,0
20,RESOLUTION,0,0,0,0,0,0,0
21,ECO3_NAME,0,0,0,0,0,0,0
22,VERSION,0,0,0,0,0,0,0
23,ratio,0,0,0,0,0,0,0
24,locID,0,0,0,0,0,0,0
25,netID,0,0,0,0,0,0,0
26,pid,0,0,0,0,0,0,0
27,upDist,0,1,1,1,1,1,1
28,afvArea,0,1,1,1,1,1,1
29,fishpres,24,0,0,0,0,0,0
30,RCASQM,0,0,0,0,0,0,0
31,RSASQM,0,0,0,0,0,0,0
32,RCACOUNT,0,0,0,0,0,0,0
33,RSACOUNT,0,0,0,0,0,0,0
34,RCANASQM,0,0,0,0,0,0,0
35,RCANACOUNT,0,0,0,0,0,0,0
36,EDGELEN,0,0,0,0,0,0,0
37,ARCACOUNT,0,0,0,0,0,0,0
38,ARSACOUNT,0,0,0,0,0,0,0
39,ARCANACOUNT,0,0,0,0,0,0,0
40,LITHCOMPRCA,0,0,0,0,0,0,0
41,LITHCOMPRSA,0,0,0,0,0,0,0
42,LITHERODRCA,0,0,0,0,0,0,0
43,LITHERODRSA,0,0,0,0,0,0,0
44,KFACTRCA,0,0,0,0,0,0,0
45,CLAYRCA,0,0,0,0,0,0,0
46,SANDRCA,0,0,0,0,0,0,0
47,SILT_CLAYRCA,0,0,0,0,0,0,0
48,SILTRCA,0,0,0,0,0,0,0
49,SPLASH,0,1,1,1,1,1,1
50,SUSCEP1_DE,0,0,0,0,0,0,0
51,SUSCEP2_DE,0,0,0,0,0,0,0
52,SUSCEP3_DE,0,0,0,0,0,0,0
53,SUSCEP4_DE,0,0,0,0,0,0,0
54,SUSCEP5_DE,0,0,0,0,0,0,0
55,SUSCEP1_LI,311,0,0,0,0,0,0
56,SUSCEP2_LI,311,0,0,0,0,0,0
57,SUSCEP3_LI,311,0,0,0,0,0,0
58,SUSCEP4_LI,311,0,0,0,0,0,0
59,SUSCEP5_LI,311,0,0,0,0,0,0
60,ROADX,0,1,1,1,1,1,1
61,ROADLENRCAM,0,1,1,1,1,1,1
62,ROADLENRSAM,0,1,1,1,1,1,1
63,SINUMAP,0,1,1,1,1,1,1
64,DISRCA_1YR_1996,0,0,0,0,0,0,0
65,DISRCA_1YR_1997,0,0,0,0,0,0,0
66,DISRCA_1YR_1998,0,0,0,0,0,0,0
67,DISRCA_1YR_1999,0,0,0,0,0,0,0
68,DISRCA_1YR_2000,0,0,0,0,0,0,0
69,DISRCA_1YR_2001,0,0,0,0,0,0,0
70,DISRCA_1YR_2002,0,0,0,0,0,0,0
71,DISRCA_1YR_2003,0,0,0,0,0,0,0
72,DISRCA_1YR_2004,0,0,0,0,0,0,0
73,DISRCA_1YR_2005,0,0,0,0,0,0,0
74,DISRCA_1YR_2006,0,0,0,0,0,0,0
75,DISRCA_1YR_2007,0,0,0,0,0,0,0
76,DISRCA_1YR_2008,0,0,0,0,0,0,0
77,DISRCA_3YR_1996,0,0,0,0,0,0,0
78,DISRCA_3YR_1997,0,0,0,0,0,0,0
79,DISRCA_3YR_1998,0,0,0,0,0,0,0
80,DISRCA_3YR_1999,0,0,0,0,0,0,0
81,DISRCA_3YR_2000,0,0,0,0,0,0,0
82,DISRCA_3YR_2001,0,0,0,0,0,0,0
83,DISRCA_3YR_2002,0,0,0,0,0,0,0
84,DISRCA_3YR_2003,0,0,0,0,0,0,0
85,DISRCA_3YR_2004,0,0,0,0,0,0,0
86,DISRCA_3YR_2005,0,0,0,0,0,0,0
87,DISRCA_3YR_2006,0,0,0,0,0,0,0
88,DISRCA_3YR_2007,0,0,0,0,0,0,0
89,DISRCA_3YR_2008,0,0,0,0,0,0,0
90,DISRCA_10YR_1996,0,0,0,0,0,0,0
91,DISRCA_10YR_1997,0,0,0,0,0,0,0
92,DISRCA_10YR_1998,0,0,0,0,0,0,0
93,DISRCA_10YR_1999,0,0,0,0,0,0,0
94,DISRCA_10YR_2000,0,0,0,0,0,0,0
95,DISRCA_10YR_2001,0,0,0,0,0,0,0
96,DISRCA_10YR_2002,0,0,0,0,0,0,0
97,DISRCA_10YR_2003,0,0,0,0,0,0,0
98,DISRCA_10YR_2004,0,0,0,0,0,0,0
99,DISRCA_10YR_2005,0,0,0,0,0,0,0
100,DISRCA_10YR_2006,0,0,0,0,0,0,0
101,DISRCA_10YR_2007,0,0,0,0,0,0,0
102,DISRCA_10YR_2008,0,0,0,0,0,0,0
103,DISRSA_1YR_1996,0,0,0,0,0,0,0
104,DISRSA_1YR_1997,0,0,0,0,0,0,0
105,DISRSA_1YR_1998,0,0,0,0,0,0,0
106,DISRSA_1YR_1999,0,0,0,0,0,0,0
107,DISRSA_1YR_2000,0,0,0,0,0,0,0
108,DISRSA_1YR_2001,0,0,0,0,0,0,0
109,DISRSA_1YR_2002,0,0,0,0,0,0,0
110,DISRSA_1YR_2003,0,0,0,0,0,0,0
111,DISRSA_1YR_2004,0,0,0,0,0,0,0
112,DISRSA_1YR_2005,0,0,0,0,0,0,0
113,DISRSA_1YR_2006,0,0,0,0,0,0,0
114,DISRSA_1YR_2007,0,0,0,0,0,0,0
115,DISRSA_1YR_2008,0,0,0,0,0,0,0
116,DISRSA_3YR_1996,0,0,0,0,0,0,0
117,DISRSA_3YR_1997,0,0,0,0,0,0,0
118,DISRSA_3YR_1998,0,0,0,0,0,0,0
119,DISRSA_3YR_1999,0,0,0,0,0,0,0
120,DISRSA_3YR_2000,0,0,0,0,0,0,0
121,DISRSA_3YR_2001,0,0,0,0,0,0,0
122,DISRSA_3YR_2002,0,0,0,0,0,0,0
123,DISRSA_3YR_2003,0,0,0,0,0,0,0
124,DISRSA_3YR_2004,0,0,0,0,0,0,0
125,OWNRCA_PRI,0,0,0,0,0,0,0
126,OWNRCA_ODF,0,0,0,0,0,0,0
127,OWNRCA_FED,0,0,0,0,0,0,0
128,OWNRCA_URB,0,0,0,0,0,0,0
129,OWNRCA_AGR,0,0,0,0,0,0,0
130,OWNRSA_PRI,0,0,0,0,0,0,0
131,OWNRSA_ODF,0,0,0,0,0,0,0
132,OWNRSA_FED,0,0,0,0,0,0,0
133,OWNRSA_URB,0,0,0,0,0,0,0
134,OWNRSA_AGR,0,0,0,0,0,0,0
135,TYPEF,0,1,1,1,1,1,1
136,TYPEN,0,0,0,0,0,0,0
137,AKFACTRCA,0,0,0,0,0,0,0
138,ACLAYRCA,0,0,0,0,0,0,0
139,ASANDRCA,0,0,0,0,0,0,0
140,ASILT_CLAYRCA,0,0,0,0,0,0,0
141,ASILTRCA,0,0,0,0,0,0,0
142,ASPLASH,0,1,1,1,1,1,1
143,AROADX,0,1,1,1,1,1,1
144,AROADLENRCAM,0,0,0,0,0,0,0
145,AROADLENRSAM,0,0,0,0,0,0,0
146,DISRSA_3YR_2005,0,0,0,0,0,0,0
147,DISRSA_3YR_2006,0,0,0,0,0,0,0
148,DISRSA_3YR_2007,0,0,0,0,0,0,0
149,DISRSA_3YR_2008,0,0,0,0,0,0,0
150,DISRSA_10YR_1996,0,0,0,0,0,0,0
151,DISRSA_10YR_1997,0,0,0,0,0,0,0
152,DISRSA_10YR_1998,0,0,0,0,0,0,0
153,DISRSA_10YR_1999,0,0,0,0,0,0,0
154,DISRSA_10YR_2000,0,0,0,0,0,0,0
155,DISRSA_10YR_2001,0,0,0,0,0,0,0
156,DISRSA_10YR_2002,0,0,0,0,0,0,0
157,DISRSA_10YR_2003,0,0,0,0,0,0,0
158,DISRSA_10YR_2004,0,0,0,0,0,0,0
159,DISRSA_10YR_2006,0,0,0,0,0,0,0
160,DISRSA_10YR_2007,0,0,0,0,0,0,0
161,DISRSA_10YR_2008,0,0,0,0,0,0,0
162,DISRSA_10YR_2005,0,0,0,0,0,0,0
163,POPRCA2010,0,1,1,1,1,1,1
164,ARCASQM,0,1,1,1,1,1,1
165,ARSASQM,0,1,1,1,1,1,1
166,ARCANASQM,0,0,0,0,0,0,0
167,AEDGELEN,0,0,0,0,0,0,0
168,ALITHCOMPRCA,0,0,0,0,0,0,0
169,ALITHCOMPRSA,0,0,0,0,0,0,0
170,ALITHERODRCA,0,0,0,0,0,0,0
171,ALITHERODRSA,0,0,0,0,0,0,0
172,ASUSCEP1_DE,0,0,0,0,0,0,0
173,ASUSCEP2_DE,0,0,0,0,0,0,0
174,ASUSCEP3_DE,0,0,0,0,0,0,0
175,ASUSCEP4_DE,0,0,0,0,0,0,0
176,ASUSCEP5_DE,0,0,0,0,0,0,0
177,ASUSCEP1_LI,311,0,0,0,0,0,0
178,ASUSCEP2_LI,311,0,0,0,0,0,0
179,ASUSCEP3_LI,311,0,0,0,0,0,0
180,ASUSCEP4_LI,311,0,0,0,0,0,0
181,ASUSCEP5_LI,311,0,0,0,0,0,0
182,ADISRCA_1YR_1996,0,0,0,0,0,0,0
183,ADISRCA_1YR_1997,0,0,0,0,0,0,0
184,ADISRCA_1YR_1998,0,0,0,0,0,0,0
185,ADISRCA_1YR_1999,0,0,0,0,0,0,0
186,ADISRCA_1YR_2000,0,0,0,0,0,0,0
187,ADISRCA_1YR_2001,0,0,0,0,0,0,0
188,ADISRCA_1YR_2002,0,0,0,0,0,0,0
189,ADISRCA_1YR_2003,0,0,0,0,0,0,0
190,ADISRCA_1YR_2004,0,0,0,0,0,0,0
191,ADISRCA_1YR_2005,0,0,0,0,0,0,0
192,ADISRCA_1YR_2006,0,0,0,0,0,0,0
193,ADISRCA_1YR_2007,0,0,0,0,0,0,0
194,ADISRCA_1YR_2008,0,0,0,0,0,0,0
