"","formula","EstMethod","Variance_Components","neg2LogL","AIC","bias","std.bias","RMSPE","RAV","std.MSPE","cov.80","cov.90","cov.95"
"1","log10_FSS_26Aug14 ~ sum_1095_days + PDISRSA_1YR + POWNRCA_PRI + PALITHERODRCA + PASILTRCA + DAPOPRCA2010","REML","Exponential.tailup + LinearSill.taildown + Gaussian.Euclid + locID + Nugget",-223.48864380775,-207.48864380775,-0.000596753285071615,-0.00101966075747109,0.190181622613336,0.192022281954175,0.989991940901874,0.830140485312899,0.909323116219668,0.943805874840358
"2","log10_FSS_26Aug14 ~ sum_1095_days + PDISRSA_1YR + POWNRCA_PRI + PALITHERODRCA + PASILTRCA + DAPOPRCA2010","REML","Exponential.tailup + LinearSill.taildown + Exponential.Euclid + locID + Nugget",-223.506500256332,-207.506500256332,-0.000707490666433789,-0.00121081697211503,0.189690840836238,0.191765187384407,0.988491195473882,0.831417624521073,0.910600255427842,0.945083014048531
"3","log10_FSS_26Aug14 ~ sum_1095_days + PDISRSA_1YR + POWNRCA_PRI + PALITHERODRCA + PASILTRCA + DAPOPRCA2010","REML","Exponential.tailup + Mariah.taildown + Exponential.Euclid + locID + Nugget",-221.299246067949,-205.299246067949,-0.000921525174518293,-0.00156882396870531,0.189641178876632,0.192199865286055,0.986436950564903,0.827586206896552,0.910600255427842,0.94125159642401
"4","log10_FSS_26Aug14 ~ sum_1095_days + PDISRSA_1YR + POWNRCA_PRI + PALITHERODRCA + PASILTRCA + DAPOPRCA2010","REML","Exponential.tailup + Spherical.taildown + Exponential.Euclid + locID + Nugget",-223.838255047136,-207.838255047136,-0.000825470959982999,-0.00140766565968852,0.189377659377505,0.191653695270805,0.987799716828856,0.827586206896552,0.909323116219668,0.945083014048531
"5","log10_FSS_26Aug14 ~ sum_1095_days + PDISRSA_1YR + POWNRCA_PRI + PALITHERODRCA + PASILTRCA + DAPOPRCA2010","REML","Spherical.tailup + Spherical.taildown + Exponential.Euclid + locID + Nugget",-223.998147706751,-207.998147706751,-0.000806303952751018,-0.00137477626038701,0.18936229006345,0.191637519885457,0.987810466174906,0.828863346104725,0.909323116219668,0.943805874840358
"6","log10_FSS_26Aug14 ~ sum_1095_days + PDISRSA_1YR + POWNRCA_PRI + PALITHERODRCA + PASILTRCA + DAPOPRCA2010","REML","LinearSill.tailup + LinearSill.taildown + Exponential.Euclid + locID + Nugget",-223.389290025908,-207.389290025908,-0.000683194153529779,-0.00116453678087857,0.189533319034573,0.191753437477129,0.985159072680087,0.828863346104725,0.909323116219668,0.946360153256705
"7","log10_FSS_26Aug14 ~ sum_1095_days + PDISRSA_1YR + POWNRCA_PRI + PALITHERODRCA + PASILTRCA + DAPOPRCA2010","REML","Mariah.tailup + Mariah.taildown + Exponential.Euclid + locID + Nugget",-221.299207281409,-205.299207281409,-0.000921732538516968,-0.00156916805414354,0.18964114607006,0.192203311454284,0.986406172637916,0.827586206896552,0.910600255427842,0.94125159642401
"8","log10_FSS_26Aug14 ~ sum_1095_days + PDISRSA_1YR + POWNRCA_PRI + PALITHERODRCA + PASILTRCA + DAPOPRCA2010","REML","Mariah.tailup + Exponential.taildown + Exponential.Euclid + locID + Nugget",-222.7519985137,-206.7519985137,-0.000891417631389741,-0.00151890956406643,0.189481005691582,0.191917081009854,0.987041308750266,0.826309067688378,0.910600255427842,0.945083014048531
"9","log10_FSS_26Aug14 ~ sum_1095_days + PDISRSA_1YR + POWNRCA_PRI + PALITHERODRCA + PASILTRCA + DAPOPRCA2010","REML","Spherical.tailup + Spherical.taildown + Spherical.Euclid + locID + Nugget",-224.379292099548,-208.379292099548,-0.000743234268791046,-0.00126576178295466,0.189305665701583,0.191583498739313,0.987725737974612,0.828863346104725,0.909323116219668,0.943805874840358
"10","log10_FSS_26Aug14 ~ sum_1095_days + PDISRSA_1YR + POWNRCA_PRI + PALITHERODRCA + PASILTRCA + DAPOPRCA2010","REML","Exponential.tailup + Spherical.taildown + Gaussian.Euclid + locID + Nugget",-223.917801689699,-207.917801689699,-0.00072041515642165,-0.00122682507269899,0.189859229432749,0.191939148925788,0.988811674954599,0.828863346104725,0.913154533844189,0.945083014048531
