"","formula","EstMethod","Variance_Components","neg2LogL","AIC","bias","std.bias","RMSPE","RAV","std.MSPE","cov.80","cov.90","cov.95"
"1","log10_FSS_26Aug14 ~ sum_1095_days + PDISRSA_1YR + POWNRCA_PRI + PALITHERODRCA + PASILTRCA + DAPOPRCA2010","REML","Exponential.tailup + LinearSill.taildown + Gaussian.Euclid + locID + Nugget",-1219.39462598319,-1203.39462598319,-0.000324624190889867,-0.000750539541507952,0.103321255381413,0.104368915450115,0.989451120259802,0.828863346104725,0.913154533844189,0.945083014048531
"2","log10_FSS_26Aug14 ~ sum_1095_days + PDISRSA_1YR + POWNRCA_PRI + PALITHERODRCA + PASILTRCA + DAPOPRCA2010","REML","Exponential.tailup + LinearSill.taildown + Exponential.Euclid + locID + Nugget",-1219.28166640225,-1203.28166640225,-0.000385226411647861,-0.000891854400010706,0.103051753507119,0.104219239989216,0.988291862824241,0.828863346104725,0.909323116219668,0.946360153256705
"3","log10_FSS_26Aug14 ~ sum_1095_days + PDISRSA_1YR + POWNRCA_PRI + PALITHERODRCA + PASILTRCA + DAPOPRCA2010","REML","Exponential.tailup + Mariah.taildown + Exponential.Euclid + locID + Nugget",-1217.04505371587,-1201.04505371587,-0.000501230586585448,-0.00115710956853654,0.103130414573525,0.104524010079244,0.986402802300353,0.827586206896552,0.910600255427842,0.94125159642401
"4","log10_FSS_26Aug14 ~ sum_1095_days + PDISRSA_1YR + POWNRCA_PRI + PALITHERODRCA + PASILTRCA + DAPOPRCA2010","REML","Exponential.tailup + Spherical.taildown + Exponential.Euclid + locID + Nugget",-1219.58522828806,-1203.58522828806,-0.000449023997477888,-0.00103829770426552,0.102987794902224,0.104236066000488,0.987617672822078,0.827586206896552,0.909323116219668,0.945083014048531
"5","log10_FSS_26Aug14 ~ sum_1095_days + PDISRSA_1YR + POWNRCA_PRI + PALITHERODRCA + PASILTRCA + DAPOPRCA2010","REML","Spherical.tailup + Spherical.taildown + Exponential.Euclid + locID + Nugget",-1219.7447192508,-1203.7447192508,-0.000438404324513533,-0.00101358837949237,0.10297863572317,0.104223648327087,0.987674426543829,0.828863346104725,0.909323116219668,0.943805874840358
"6","log10_FSS_26Aug14 ~ sum_1095_days + PDISRSA_1YR + POWNRCA_PRI + PALITHERODRCA + PASILTRCA + DAPOPRCA2010","REML","LinearSill.tailup + LinearSill.taildown + Exponential.Euclid + locID + Nugget",-1219.7228818675,-1203.7228818675,-0.000368949025786001,-0.000856608639589985,0.103127272077101,0.104250603273824,0.988710080654352,0.832694763729246,0.909323116219668,0.943805874840358
"7","log10_FSS_26Aug14 ~ sum_1095_days + PDISRSA_1YR + POWNRCA_PRI + PALITHERODRCA + PASILTRCA + DAPOPRCA2010","REML","Mariah.tailup + Mariah.taildown + Exponential.Euclid + locID + Nugget",-1217.04490365428,-1201.04490365428,-0.000501250695915792,-0.00115714960445817,0.103130398608219,0.104525456543023,0.986382902323704,0.827586206896552,0.910600255427842,0.94125159642401
"8","log10_FSS_26Aug14 ~ sum_1095_days + PDISRSA_1YR + POWNRCA_PRI + PALITHERODRCA + PASILTRCA + DAPOPRCA2010","REML","Mariah.tailup + Exponential.taildown + Exponential.Euclid + locID + Nugget",-1218.49791829223,-1202.49791829223,-0.000484841098697828,-0.00112026114014727,0.103043531772899,0.104372671855725,0.986971996078142,0.826309067688378,0.910600255427842,0.945083014048531
"9","log10_FSS_26Aug14 ~ sum_1095_days + PDISRSA_1YR + POWNRCA_PRI + PALITHERODRCA + PASILTRCA + DAPOPRCA2010","REML","Spherical.tailup + Spherical.taildown + Spherical.Euclid + locID + Nugget",-1220.51800403186,-1204.51800403186,-0.000458657244204093,-0.0010599085766589,0.103013272310802,0.104223411886142,0.988039654273446,0.830140485312899,0.910600255427842,0.945083014048531
"10","log10_FSS_26Aug14 ~ sum_1095_days + PDISRSA_1YR + POWNRCA_PRI + PALITHERODRCA + PASILTRCA + DAPOPRCA2010","REML","Exponential.tailup + Spherical.taildown + Gaussian.Euclid + locID + Nugget",-1219.65474868678,-1203.65474868678,-0.000392178004119677,-0.000905607819481734,0.103248227969942,0.104380792823385,0.988802384915645,0.828863346104725,0.913154533844189,0.945083014048531
"11","log10_FSS_26Aug14 ~ sum_1095_days + PDISRSA_1YR + POWNRCA_PRI + PALITHERODRCA + PASILTRCA + DAPOPRCA2010","REML","Exponential.tailup + Exponential.taildown + Exponential.Euclid + locID + Nugget",-1218.70163566263,-1202.70163566263,-0.000478770660683897,-0.0011068377817089,0.103033774922513,0.10436182694338,0.986941590455837,0.826309067688378,0.910600255427842,0.943805874840358
