Category,Formula,Simple Terms
Natural Factors Only,,
Precip + Soil,sum_1095_days + PALITHERODRCA,Rain + Erodible
,sum_1095_days + PALITHERODRCA + sum_1095_days*PALITHERODRCA,Rain + Erodible + Rain*Erodible
,sum_1095_days + PALITHERODRCA + PASILTRCA + PACLAYRCA,Rain + Erodible + Silt + Clay
,sum_1095_days + PALITHERODRCA + PASILTRCA + PACLAYRCA + sum_1095_days*PALITHERODRCA,Rain + Erodible + Silt + Clay + Rain*Erodible
,sum_1095_days + PALITHERODRCA + PASILTRCA + PACLAYRCA + sum_1095_days*PASILTRCA,Rain + Erodible + Silt + Clay + Rain*Silt
,sum_1095_days + PALITHERODRCA + PASILTRCA + PACLAYRCA + sum_1095_days*PACLAYRCA,Rain + Erodible + Silt + Clay + Rain*Clay
Precip + Soil + Stream Chars,sum_1095_days + PALITHERODRCA + STRMPWR,Rain + Erodible + StreamPower
,sum_1095_days + PALITHERODRCA + STRMPWR + PASILTRCA,Rain + Erodible + StreamPower + Silt
,sum_1095_days + PALITHERODRCA + STRMPWR + MIN_Z,Rain + Erodible + StreamPower + Elevation
,sum_1095_days + PALITHERODRCA + STRMPWR + PASILTRCA + MIN_Z,Rain + Erodible + StreamPower + Silt + Elevation
,sum_1095_days + PALITHERODRCA + XSLOPE_MAP + PASILTRCA + MIN_Z,Rain + Erodible + Slope + Silt + Elevation
Landslides,sum_1095_days + PASUSCEP5_DE + STRMPWR + PASILTRCA,Rain + LandslideSuscep + StreamPower + Silt
,sum_1095_days + PASUSCEP5_DE + STRMPWR + PASILTRCA + PASUSCEP5_DE*XSLOPE_MAP,Rain + LandslideSuscep + StreamPower + Silt + LandslideSuscep*StreamPower
,sum_1095_days + PASUSCEP5_DE + STRMPWR + PASILTRCA + PASUSCEP5_DE*sum_1095_days,Rain + LandslideSuscep + StreamPower + Silt + LandslideSuscep*Rain
,sum_1095_days + PASUSCEP5_DE + STRMPWR + PASILTRCA + PASUSCEP5_DE*sum_1095_days + PASUSCEP5_DE*XSLOPE_MAP,Rain + LandslideSuscep + StreamPower + Silt + LandslideSuscep*Rain + LandslideSuscep*StreamPower
Human Factors Only,,
All,POWNRCA_PRI + PDISRSA_1YR + PAOWNRCA_AGR + DAROADX + DAPOPRCA2010,PrivForest + Disturbance + Ag + RoadX + PopulationDensity
Riparian Only,PDISRSA_1YR + DAROADX,Disturbance + RoadX
Landuse Only,POWNRCA_PRI + PAOWNRCA_AGR + DAPOPRCA2010,PrivForest + Ag + PopulationDensity
Landuse + Roads,POWNRCA_PRI + PAOWNRCA_AGR + DAPOPRCA2010 + DAROADX,PrivForest + Ag + PopulationDensity + RoadX
Natural and Human Factors,,
Precip + Dis,sum_1095_days + PDISRSA_1YR,Rain + Disturbance
,sum_1095_days + PDISRSA_1YR + sum_1095_days*PDISRSA_1YR,Rain + Disturbance + Rain*Disturbance
,sum_1095_days + PDISRSA_1YR + PASILTRCA,Rain + Disturbance + Silt
,sum_1095_days + PDISRSA_1YR + PASILTRCA + PDISRSA_1YR*PASILTRCA,Rain + Disturbance + Silt + Disturbance*Silt
,sum_1095_days + PDISRSA_1YR + PASILTRCA + PDISRSA_1YR*sum_1095_days,Rain + Disturbance + Silt + Disturbance*Rain
,sum_1095_days + PDISRSA_1YR + PASILTRCA + PDISRSA_1YR*sum_1095_days + PDISRSA_1YR*PASILTRCA,Rain + Disturbance + Silt + Disturbance*Rain + Disturbance*Silt
Priv + Suscep,sum_1095_days + PASUSCEP5_DE,Rain + LandslideSuscep
,sum_1095_days + PASUSCEP5_DE + POWNRCA_PRI,Rain + LandslideSuscep + PrivForest
,sum_1095_days + PASUSCEP5_DE + POWNRCA_PRI + POWNRCA_PRI*PASUSCEP5_DE,Rain + LandslideSuscep + PrivForest + PrivForest*LandslideSuscep
,sum_1095_days + PASUSCEP5_DE + POWNRCA_PRI + POWNRCA_PRI*PASUSCEP5_DE + PALITHERODRCA,Rain + LandslideSuscep + PrivForest + PrivForest*LandslideSuscep + Erodible
,sum_1095_days + PASUSCEP5_DE + POWNRCA_PRI + PALITHERODRCA,Rain + LandslideSuscep + PrivForest + Erodible
Ag,sum_1095_days + PALITHERODRCA + PASILTRCA + PAOWNRCA_AGR + PDISRSA_1YR,Rain + Erodible + Silt + Ag + Disturbance
,sum_1095_days + PALITHERODRCA + PASILTRCA + PAOWNRCA_AGR + PDISRSA_1YR + PAOWNRCA_AGR*PASILTRCA,Rain + Erodible + Silt + Ag + Disturbance + Ag*Silt
