"","formula","EstMethod","Variance_Components","neg2LogL","AIC","bias","std.bias","RMSPE","RAV","std.MSPE","cov.80","cov.90","cov.95"
"1","FSS_26Aug14 ~ sum_1095_days + PALITHERODRCA","ML","Spherical.tailup + Spherical.taildown + Exponential.Euclid + locID + Nugget",-1278.48696487842,-1256.48696487842,-0.000488794866675094,-0.0011035930528722,0.0998908003807376,0.100565194120108,0.997125176429743,0.89272030651341,0.934865900383142,0.955300127713921
"2","FSS_26Aug14 ~ sum_1095_days + PALITHERODRCA + sum_1095_days * PALITHERODRCA","ML","Spherical.tailup + Spherical.taildown + Exponential.Euclid + locID + Nugget",-1300.50987556184,-1276.50987556184,-0.000372247808835394,-0.000852815038942142,0.0985600351945756,0.0995786259313088,0.994710006596823,0.89272030651341,0.938697318007663,0.955300127713921
"3","FSS_26Aug14 ~ sum_1095_days + PALITHERODRCA + PASILTRCA + PACLAYRCA","ML","Spherical.tailup + Spherical.taildown + Exponential.Euclid + locID + Nugget",-1294.25721898897,-1268.25721898897,-0.00046838419129577,-0.00106762027057611,0.100163487069701,0.100254894049128,1.00318276467079,0.890166028097063,0.931034482758621,0.952745849297573
"4","FSS_26Aug14 ~ sum_1095_days + PALITHERODRCA + PASILTRCA + PACLAYRCA + sum_1095_days * PALITHERODRCA","ML","Spherical.tailup + Spherical.taildown + Exponential.Euclid + locID + Nugget",-1323.86880254818,-1295.86880254818,-0.000465168153416072,-0.0010789240992488,0.0986149350380551,0.0988106314251543,1.0026291275469,0.89272030651341,0.934865900383142,0.957854406130268
"5","FSS_26Aug14 ~ sum_1095_days + PALITHERODRCA + PASILTRCA + PACLAYRCA + sum_1095_days * PASILTRCA","ML","Spherical.tailup + Spherical.taildown + Exponential.Euclid + locID + Nugget",-1295.81896404758,-1267.81896404758,-0.000503344977804984,-0.00114977915909572,0.100287709060642,0.100275265177476,1.00470288135575,0.888888888888889,0.934865900383142,0.954022988505747
"6","FSS_26Aug14 ~ sum_1095_days + PALITHERODRCA + PASILTRCA + PACLAYRCA + sum_1095_days * PACLAYRCA","ML","Spherical.tailup + Spherical.taildown + Exponential.Euclid + locID + Nugget",-1295.89617729827,-1267.89617729827,-0.000493101644751073,-0.00112823260457003,0.10006060988922,0.100188207461015,1.00355077024908,0.893997445721584,0.934865900383142,0.952745849297573
"7","FSS_26Aug14 ~ sum_1095_days + PALITHERODRCA + STRMPWR","ML","Spherical.tailup + Spherical.taildown + Exponential.Euclid + locID + Nugget",-1279.11934758809,-1255.11934758809,-0.000694431019462615,-0.00149087942125773,0.100206393429129,0.100715419436709,0.998745140828731,0.89272030651341,0.933588761174968,0.955300127713921
"8","FSS_26Aug14 ~ sum_1095_days + PALITHERODRCA + STRMPWR + PASILTRCA","ML","Spherical.tailup + Spherical.taildown + Exponential.Euclid + locID + Nugget",-1294.51072249492,-1268.51072249492,-0.000674016292274046,-0.00145209815262191,0.100403488215578,0.100379238489519,1.0036505870503,0.891443167305236,0.933588761174968,0.954022988505747
"9","FSS_26Aug14 ~ sum_1095_days + PALITHERODRCA + STRMPWR + MIN_Z","ML","Spherical.tailup + Spherical.taildown + Exponential.Euclid + locID + Nugget",-1279.18169849935,-1253.18169849935,-0.00070562610602265,-0.00150960763185441,0.100444975256686,0.100818457692839,1.00069285664897,0.89272030651341,0.933588761174968,0.956577266922095
"10","FSS_26Aug14 ~ sum_1095_days + PALITHERODRCA + STRMPWR + PASILTRCA + MIN_Z","ML","Spherical.tailup + Spherical.taildown + Exponential.Euclid + locID + Nugget",-1295.48343870156,-1267.48343870156,-0.000655038656670361,-0.00140092242712691,0.1005728242434,0.100486923233965,1.00510043012165,0.890166028097063,0.934865900383142,0.954022988505747
"11","FSS_26Aug14 ~ sum_1095_days + PALITHERODRCA + XSLOPE_MAP + PASILTRCA + MIN_Z","ML","Spherical.tailup + Spherical.taildown + Exponential.Euclid + locID + Nugget",-1298.93801711154,-1270.93801711154,-0.000561098703693552,-0.00126704810481327,0.100162641381209,0.10017671110263,1.00469205362566,0.886334610472541,0.934865900383142,0.954022988505747
"12","FSS_26Aug14 ~ sum_1095_days + PASUSCEP5_DE + STRMPWR + PASILTRCA","ML","Spherical.tailup + Spherical.taildown + Exponential.Euclid + locID + Nugget",-1265.06903185821,-1239.06903185821,-0.000843905668368583,-0.00181302676931015,0.101594433546122,0.101645096697311,1.00186293702792,0.888888888888889,0.934865900383142,0.950191570881226
"13","FSS_26Aug14 ~ sum_1095_days + PASUSCEP5_DE + STRMPWR + PASILTRCA + PASUSCEP5_DE * XSLOPE_MAP","ML","Spherical.tailup + Spherical.taildown + Exponential.Euclid + locID + Nugget",-1274.57362114346,-1244.57362114346,-0.00083619320213118,-0.00180499885915289,0.101371925045924,0.10135181724375,1.00464642063845,0.881226053639847,0.939974457215837,0.955300127713921
