"","formula","EstMethod","Variance_Components","neg2LogL","AIC","bias","std.bias","RMSPE","RAV","std.MSPE","cov.80","cov.90","cov.95"
"1","log10_FSS_26Aug14 ~ sum_1095_days + PALITHERODRCA","ML","Exponential.tailup + Exponential.taildown + Exponential.Euclid + locID + Nugget",-1191.35024921776,-1169.35024921776,-0.00101648179064994,-0.00229140859454265,0.104747814336728,0.106273298470225,0.985401446336998,0.841634738186462,0.905491698595147,0.933588761174968
"2","log10_FSS_26Aug14 ~ sum_1095_days + PALITHERODRCA + sum_1095_days * PALITHERODRCA","ML","Exponential.tailup + Exponential.taildown + Exponential.Euclid + locID + Nugget",-1213.80314321713,-1189.80314321713,-0.00102106494528037,-0.00232322904548323,0.103567758252816,0.104879420795826,0.987931024115377,0.832694763729246,0.899106002554278,0.932311621966794
"3","log10_FSS_26Aug14 ~ sum_1095_days + PALITHERODRCA + PASILTRCA + PACLAYRCA","ML","Exponential.tailup + Exponential.taildown + Exponential.Euclid + locID + Nugget",-1207.54890124951,-1181.54890124951,-0.000973554658513238,-0.00221079348198969,0.105097036832387,0.10599070508543,0.992065748374699,0.835249042145594,0.905491698595147,0.936143039591316
"4","log10_FSS_26Aug14 ~ sum_1095_days + PALITHERODRCA + PASILTRCA + PACLAYRCA + sum_1095_days * PALITHERODRCA","ML","Exponential.tailup + Exponential.taildown + Exponential.Euclid + locID + Nugget",-1233.17725781435,-1205.17725781435,-0.000961482816275821,-0.00220630754048189,0.103802872824506,0.104526661774968,0.994467979509626,0.828863346104725,0.905491698595147,0.936143039591316
"5","log10_FSS_26Aug14 ~ sum_1095_days + PALITHERODRCA + PASILTRCA + PACLAYRCA + sum_1095_days * PASILTRCA","ML","Exponential.tailup + Exponential.taildown + Exponential.Euclid + locID + Nugget",-1208.15114356096,-1180.15114356096,-0.000950023504199758,-0.00215900010831526,0.105239726383787,0.1060033195493,0.993366847023631,0.835249042145594,0.908045977011494,0.936143039591316
"6","log10_FSS_26Aug14 ~ sum_1095_days + PALITHERODRCA + PASILTRCA + PACLAYRCA + sum_1095_days * PACLAYRCA","ML","Exponential.tailup + Exponential.taildown + Exponential.Euclid + locID + Nugget",-1207.55466309234,-1179.55466309234,-0.000952762735086919,-0.00216500415132274,0.105219588436808,0.106048142915232,0.993247439814821,0.832694763729246,0.905491698595147,0.936143039591316
"7","log10_FSS_26Aug14 ~ sum_1095_days + PALITHERODRCA + STRMPWR","ML","Exponential.tailup + Exponential.taildown + Exponential.Euclid + locID + Nugget",-1191.54194457466,-1167.54194457466,-0.00127355753645756,-0.00276848830526583,0.105168284241778,0.106454733107272,0.987192131654606,0.841634738186462,0.905491698595147,0.933588761174968
"8","log10_FSS_26Aug14 ~ sum_1095_days + PALITHERODRCA + STRMPWR + PASILTRCA","ML","Exponential.tailup + Exponential.taildown + Exponential.Euclid + locID + Nugget",-1203.50767243401,-1177.50767243401,-0.00122006450509073,-0.00265458480041798,0.1055123101884,0.10639346887882,0.991001073558858,0.835249042145594,0.905491698595147,0.936143039591316
"9","log10_FSS_26Aug14 ~ sum_1095_days + PALITHERODRCA + STRMPWR + MIN_Z","ML","Exponential.tailup + Exponential.taildown + Exponential.Euclid + locID + Nugget",-1192.8999915191,-1166.8999915191,-0.00125475757024778,-0.00271139850025911,0.105580257860787,0.106597252446703,0.990171049047024,0.837803320561941,0.9029374201788,0.934865900383142
"10","log10_FSS_26Aug14 ~ sum_1095_days + PALITHERODRCA + STRMPWR + PASILTRCA + MIN_Z","ML","Exponential.tailup + Exponential.taildown + Exponential.Euclid + locID + Nugget",-1205.18698305406,-1177.18698305406,-0.00120479538074538,-0.00260730531199423,0.105935438762026,0.106556372139398,0.993986602565769,0.832694763729246,0.901660280970626,0.937420178799489
