,variable,Category
110,PLITHCOMPRCA,Geology
111,PLITHCOMPRSA,Geology
112,PLITHERODRCA,Geology
113,PLITHERODRSA,Geology
114,MKFACTRCA,Geology
115,PCLAYRCA,Geology
116,PSANDRCA,Geology
117,PSILT_CLAYRCA,Geology
118,PSILTRCA,Geology
119,PSUSCEP4_DE,Geology
120,PSUSCEP5_DE,Geology
121,PSUSCEP4_LI,Geology
122,PSUSCEP5_LI,Geology
142,PATYPEF,Geology
143,PALITHCOMPRCA,Geology
144,PALITHCOMPRSA,Geology
145,PALITHERODRCA,Geology
146,PALITHERODRSA,Geology
147,MAKFACTRCA,Geology
148,PACLAYRCA,Geology
149,PASANDRCA,Geology
150,PASILT_CLAYRCA,Geology
151,PASILTRCA,Geology
152,PASUSCEP4_DE,Geology
153,PASUSCEP5_DE,Geology
154,PASUSCEP4_LI,Geology
155,PASUSCEP5_LI,Geology
17,XDEPTH,Geomorphology
18,SDDEPTH,Geomorphology
19,SDWIDTH,Geomorphology
20,XBKF_W,Geomorphology
21,XWXD,Geomorphology
22,XWD_RAT,Geomorphology
23,SDWXD,Geomorphology
24,XBKA,Geomorphology
25,XUN,Geomorphology
26,XBKF_H,Geomorphology
27,XINC_H,Geomorphology
28,SINU,Geomorphology
29,LRBS_BW5,Geomorphology
30,LDMB_BW5,Geomorphology
42,XEMBED,Geomorphology
59,RPGT75,Geomorphology
60,RPGT100,Geomorphology
61,RPMXDEP,Geomorphology
62,RPXAREA,Geomorphology
63,RP100,Geomorphology
103,XSLOPE_MAP,Geomorphology
104,MIN_Z,Geomorphology
68,PCT_FA,Hydrology
69,PCT_FAST,Hydrology
70,PCT_SLOW,Hydrology
71,PCT_POOL,Hydrology
72,PCT_DRS,Hydrology
73,PCT_SIDE,Hydrology
74,sum_60_days,Hydrology
75,sum_180_days,Hydrology
76,sum_365_days,Hydrology
77,sum_1095_days,Hydrology
78,X6month_count_60_days,Hydrology
79,X2year_count_60_days,Hydrology
80,X10year_count_60_days,Hydrology
81,X25year_count_60_days,Hydrology
82,X50year_count_60_days,Hydrology
83,X100year_count_60_days,Hydrology
84,X6month_count_180_days,Hydrology
85,X2year_count_180_days,Hydrology
86,X10year_count_180_days,Hydrology
87,X25year_count_180_days,Hydrology
88,X50year_count_180_days,Hydrology
89,X100year_count_180_days,Hydrology
90,X6month_count_365_days,Hydrology
91,X2year_count_365_days,Hydrology
92,X10year_count_365_days,Hydrology
93,X25year_count_365_days,Hydrology
94,X50year_count_365_days,Hydrology
95,X100year_count_365_days,Hydrology
96,X6month_count_1095_days,Hydrology
97,X2year_count_1095_days,Hydrology
98,X10year_count_1095_days,Hydrology
99,X25year_count_1095_days,Hydrology
100,X50year_count_1095_days,Hydrology
101,X100year_count_1095_days,Hydrology
102,PPT_1981_2010,Hydrology
105,Q0001A,Hydrology
106,STRMPWR,Hydrology
5,SPLASH,Management
6,ROADX,Management
7,ROADLENRCAM,Management
8,ROADLENRSAM,Management
9,SINUMAP,Management
10,TYPEF,Management
11,ASPLASH,Management
12,AROADX,Management
13,POPRCA2010,Management
16,APOPRCA2010,Management
54,W1_HALL,Management
55,W1_HNOAG,Management
56,W1_HAG,Management
57,W1H_WALL,Management
58,W1H_PIPE,Management
64,V1W_MSQ,Management
65,V4W_MSQ,Management
66,V1TM100,Management
67,V4TM100,Management
123,DROADX,Management
124,DROADLENRCAM,Management
125,DROADLENRSAM,Management
126,PDISRCA_1YR,Management
127,PDISRCA_3YR,Management
128,PDISRCA_10YR,Management
129,PDISRSA_1YR,Management
130,PDISRSA_3YR,Management
131,PDISRSA_10YR,Management
132,POWNRCA_PRI,Management
133,POWNRCA_ODF,Management
134,POWNRCA_FED,Management
135,POWNRCA_URB,Management
136,POWNRCA_AGR,Management
137,POWNRSA_PRI,Management
138,POWNRSA_ODF,Management
139,POWNRSA_FED,Management
140,POWNRSA_URB,Management
141,POWNRSA_AGR,Management
156,DAROADX,Management
157,DAROADLENRCAM,Management
158,DAROADLENRSAM,Management
159,PADISRCA_1YR,Management
160,PADISRCA_3YR,Management
161,PADISRCA_10YR,Management
162,PADISRSA_1YR,Management
163,PADISRSA_3YR,Management
164,PADISRSA_10YR,Management
165,PAOWNRCA_PRI,Management
166,PAOWNRCA_ODF,Management
167,PAOWNRCA_FED,Management
168,PAOWNRCA_URB,Management
169,PAOWNRCA_AGR,Management
170,PAOWNRSA_PRI,Management
171,PAOWNRSA_ODF,Management
172,PAOWNRSA_FED,Management
173,PAOWNRSA_URB,Management
174,PAOWNRSA_AGR,Management
4,afvArea,NA
107,FSS_26Aug14,NA
108,YEAR,NA
109,MONTH,NA
1,LONG_RAW,Other
2,LAT_RAW,Other
3,upDist,Other
14,ARCASQM,Other
15,ARSASQM,Other
31,XPCM,Other
32,XPCMG,Other
33,XCL,Other
34,XGB,Other
35,XC,Other
36,XG,Other
37,XCMW,Other
38,XCMGW,Other
39,PCAN_C,Other
40,XCDENBK,Other
41,XCDENMID,Other
43,XFC_ALG,Other
44,XFC_AQM,Other
45,XFC_LWD,Other
46,XFC_BRS,Other
47,XFC_OHV,Other
48,XFC_UCB,Other
49,XFC_RCK,Other
50,XFC_HUM,Other
51,XFC_ALL,Other
52,XFC_NAT,Other
53,XFC_BIG,Other
