"","X","SVN","STATION_KEY","SY","SITE_NAME","PREDATOR_Nov05_model","PREDATOR_Nov05_score","PREDATOR_Nov05_Condition","Year_Sampled","Ref_Samples","NewSample","FSS_May05","FSS_May05_trans","AREAWTMAP","MAFLOWU_trans","SLOPE_trans","PRECIPSITE_MM_trans","STRMPOWER_trans","LONG_NHD_trans","LAT_NHD","ELEV_FT_trans","PCT_FSP3_trans","ERODRES_CAT","coords.x1","coords.x2","Use.303d","sample_status","biocriteria_status","biocriteria_status.OLD","FSS","Q75TH","fss_pred_trans","fss_pred","fss_pred_resids_trans","fss_pred_resids","Group","Q90TH","fss_resid_cond","sediment_resid_status","NEW_STATION","NEW_SAMPLE","NEW"
"166",531,"08125DFW","dfw_6104","dfw_6104 2008","Carle Cr","MWCF",1,"Least disturbed",2008,0,"Yes",21,1.34242268082221,2059.286,0.614878241587879,0.239812426700536,3.33223641549144,0.0716688003040358,124.0325845,43.90420003,11.4455231422596,1.3030329996377,"E",-2210995.0768,2652116.68169999,"Yes","Attaining","Attaining",NA,21,14,1.0152349953652,9.35702430383774,0.327187685457004,11.6429756961623,"Group 4",20,"Poor","Attaining","NEW","NEW","NEW"
"165",530,"08124DFW","dfw_6080","dfw_6080 2008","Bear Cr Trib D","MWCF",0.96,"Least disturbed",2008,0,"Yes",16,1.23044892137827,2134.629,0.535277659590122,0.270444079247448,3.33324569896196,0.0710423054714698,123.9833742,43.90062475,12.9228479833201,1.3030329996377,"E",-2207342.4155,2650591.14129999,"Yes","Attaining","Attaining",NA,16,14,1.0152349953652,9.35702430383774,0.215213926013072,6.64297569616226,"Group 4",20,"Fair","Attaining","NEW","NEW","NEW"
"164",529,"08123DFW","dfw_6041","dfw_6041 2008","Five Mile Cr","MWCF",0.64,"Most disturbed",2008,0,"Yes",25,1.41497334797082,2100.86115,1.04327973457449,0.106207344378814,3.32283927268632,0.0466279343556076,124.0106306,43.83659574,7.48331477354788,1.3030329996377,"E",-2211504.5742,2644390.43709999,"Yes","Impaired","Impaired",NA,25,14,1.0152349953652,9.35702430383774,0.399738352605616,15.6429756961623,"Group 4",20,"Poor","Impaired - Sediment Stressor","NEW","NEW","NEW"
"197",593,"09064DFW","dfw_39988","dfw_39988 2009","Haight","MWCF",0.76,"Most disturbed",2009,0,"Yes",17,1.25527250510331,1283.205,1.18309666093129,0.133191591326179,3.14395111642396,0.0978426193556381,123.497517,43.87268114,24.3104915622864,1.47062890563334,"E",-2170992.5041,2636413.98639999,"Yes","Impaired","Impaired",NA,17,14,1.0152349953652,9.35702430383774,0.240037509738104,7.64297569616226,"Group 4",20,"Fair","Impaired - Unknown Stressor","NEW","NEW","NEW"
"191",577,"09046DFW","dfw_39983","dfw_39983 2009","Drift Cr.","MWCF",0.79,"Most disturbed",2009,0,"Yes",15,1.20411998265592,3127.56049,2.22211134020288,0.0286356421265527,3.38201704257487,0.0553513113773437,123.9651069,44.90582306,5.09901951359278,0.835481873978228,"R",-2173458.1445,2757355.68009999,"Yes","Impaired","Impaired",NA,15,14,1.0152349953652,9.35702430383774,0.188884987290723,5.64297569616226,"Group 4",20,"Fair","Impaired - Unknown Stressor","NEW","NEW","NEW"
"198",601,"09076DFW","dfw_39980","dfw_39980 2009","Lake Cr.","MWCF",0.97,"Least disturbed",2009,0,"Yes",30,1.49136169383427,1928.087,0.335213102255668,0.0802496105909555,3.18554215485437,0.00324278871682173,123.5206362,44.19313717,26.6833281282527,1.34528292089677,"E",-2162571.5234,2671220.62119999,"Yes","Attaining","Attaining",NA,30,14,1.0152349953652,9.35702430383774,0.476126698469071,20.6429756961623,"Group 4",20,"Poor","Attaining","NEW","NEW","NEW"
"223",669,"09163DFW","dfw_39974","dfw_39974 2009","Big Rock Cr.","MWCF",1.04,"Least disturbed",2009,0,"Yes",8,0.954242509439325,2816.59786,1.8455893833199,0.0933273807625608,3.27508089845686,0.204575801431421,123.7174808,44.73416536,15.6843871413581,1.32332926362445,"E",-2160254.4052,2733427.73379999,"Yes","Attaining","Attaining",NA,8,14,1.0152349953652,9.35702430383774,-0.0609924859258769,-1.35702430383774,"Group 4",20,"Fair","Attaining","NEW","NEW","NEW"
"220",666,"09160DFW","dfw_39969","dfw_39969 2009","Skunk Cr.","MWCF",1.2,"Least disturbed",2009,0,"Yes",6,0.845098040014257,3143.655,0.461644067579184,0.312921715449727,3.30813737863804,0.0739218757137328,123.7128,44.39372194,18.6547581061776,1.20193334256827,"E",-2170793.7541,2696983.67849999,"Yes","Attaining","Attaining",NA,6,14,1.0152349953652,9.35702430383774,-0.170136955350945,-3.35702430383774,"Group 4",20,"Fair","Attaining","NEW","NEW","NEW"
"207",633,"09117DFW","dfw_39965","dfw_39965 2009","Sutton Cr.","MWCF",0.54,"Most disturbed",2009,0,"Yes",35,1.55630250076729,2102.36885,1.86045336382451,0.0428952211790544,3.24895361549571,0.0536911879406441,124.1176818,44.0677351,4,0.500179608697487,"E",-2212192.6654,2671544.33659999,"Yes","Impaired","Impaired",NA,35,14,1.0152349953652,9.35702430383774,0.541067505402085,25.6429756961623,"Group 4",20,"Poor","Impaired - Sediment Stressor","NEW","NEW","NEW"
"194",587,"09057DFW","dfw_39964","dfw_39964 2009","Fish Cr.","MWCF",1.1,"Least disturbed",2009,0,"Yes",12,1.11394335230684,1880.13776,1.42769671356748,0.122024587686253,3.18949031369937,0.141060669465134,123.5724065,44.14782048,22.4722050542442,1.34528292089677,"R",-2167961.0774,2667526.66949999,"Yes","Attaining","Attaining",NA,12,14,1.0152349953652,9.35702430383774,0.0987083569416349,2.64297569616226,"Group 4",20,"Good","Attaining","NEW","NEW","NEW"
