"","SVN","STATION_KEY","SY","SITE_NAME","PREDATOR_Nov05_model","PREDATOR_Nov05_score","PREDATOR_Nov05_Condition","Year_Sampled","Ref_Samples","NewSample","FSS_May05_trans","AREAWTMAP","MAFLOWU_trans","SLOPE_trans","PRECIPSITE_MM_trans","STRMPOWER_trans","LONG_NHD_trans","LAT_NHD","ELEV_FT_trans","PCT_FSP3_trans","ERODRES_CAT","sample_status","biocriteria_status","biocriteria_status.OLD","FSS","Q75TH","fss_pred_trans","fss_pred","fss_pred_resids_trans","fss_pred_resids","Group","Q90TH","fss_resid_cond","sediment_resid_status","NEW_STATION","NEW_SAMPLE","NEW"
"7","00026CSR","23823","23823 2000","Condon Cr","MWCF",1.03,"Least disturbed",2000,0,"",0.903089986991944,2227.242,0.339381869112333,0.209499403340439,3.3142886609475,0.0220133821537293,123.9853486,44.08528001,13.1909059582729,1.42889927219073,"E",NA,"Attaining","Attaining","7",14,1.0152349953652,9.35702430383774,-0.112145008373258,-8.4539343168458,"Group 4",20,"Fair","Attaining","OLD","NEW","NEW"
"8","00028CSR","21791","21791 2000","Big Cr (Rock Cr Wilderness)","MWCF",1.09,"Least disturbed",2000,1,"",1,2300.54983,1.69311807045694,0.073280283842245,3.28712962071911,0.100210702919769,124.1060567,44.17026689,5.09901951359278,0.500179608697487,"R",NA,"Potential Concern","Potential Concern","9",14,1.0152349953652,9.35702430383774,-0.0152349953652018,-8.35702430383774,"Group 4",20,"Fair","Potential Concern","OLD","NEW","NEW"
"10","00036CSR","23821","23821 2000","Buck Creek (Deadwood)","MWCF",1.1,"Least disturbed",2000,0,"",1,2128.535,0.220152561703746,0.24897791066679,3.30535136944662,0.0174189960679312,123.6870096,44.19681741,25.4165300542777,1.47062890563334,"E",NA,"Potential Concern","Potential Concern","9",14,1.0152349953652,9.35702430383774,-0.0152349953652018,-8.35702430383774,"Group 4",20,"Fair","Potential Concern","OLD","NEW","NEW"
"14","00052CSR","23820","23820 2000","Crab Creek at RM 4.8 (Five Rivers, Alsea)","MWCF",1.04,"Least disturbed",2000,0,"",1,2152.455,1.44460573568862,0.134833230325465,3.31534047662729,0.172567090804738,123.8504347,44.26108329,18.3847763108502,1.42889927219073,"E",NA,"Attaining","Attaining","9",14,1.0152349953652,9.35702430383774,-0.0152349953652018,-8.35702430383774,"Group 4",20,"Fair","Attaining","OLD","OLD","OLD"
"24","01023CSR","25297","25297 2001","Siuslaw River at RM 76.2","MWCF",0.75,"Most disturbed",2001,0,"",1.32221929473392,1275.1961,2.69035222070717,0.0346410161513775,3.14519640611418,0.200580057385576,123.5063146,43.88239156,22.248595461287,1.47062890563334,"E",NA,"Impaired","Impaired","20",14,1.0152349953652,9.35702430383774,0.306984299368718,-8.03480500910382,"Group 4",20,"Poor","Impaired - Sediment Stressor","OLD","NEW","NEW"
"25","01024CSR","21791","21791 2001","Big Cr (Rock Cr Wilderness)","MWCF",1.03,"Least disturbed",2001,1,"",1.11394335230684,2300.54983,1.69311807045694,0.073280283842245,3.28712962071911,0.100210702919769,124.1060567,44.17026689,5.09901951359278,0.500179608697487,"R",NA,"Potential Concern","Potential Concern","12",14,1.0152349953652,9.35702430383774,0.0987083569416349,-8.2430809515309,"Group 4",20,"Good","Potential Concern","OLD","NEW","NEW"
"30","02001CSR","26818","26818 2002","Siletz River South Fork","MWCF",0.83,"Most disturbed",2002,0,"",1.34242268082221,2909.31716,1.4978452648571,0.0770713954719908,3.48925516836926,0.0722387345206047,123.633116,44.82276894,33.4514573673555,0.725253222200054,"E","Impaired","Impaired","Impaired","21",7,0.717561516606581,4.21869020300477,0.624861164215625,-2.87626752218256,"Group 3",9,"Poor","Impaired - Sediment Stressor","OLD","NEW","NEW"
"31","02002CSR","21790","21790 2002","Elkhorn Creek at RM 1.56","MWCF",0.95,"Least disturbed",2002,0,"",0.845098040014257,2124.81557,1.14686137385629,0.103923048454133,3.31973049433022,0.0571545095575216,123.9890525,44.50037836,9.89949493661167,1.34528292089677,"E","Attaining","Attaining","Attaining","6",14,1.0152349953652,9.35702430383774,-0.170136955350945,-8.51192626382348,"Group 4",20,"Fair","Attaining","OLD","NEW","NEW"
"33","02005CSR","26819","26819 2002","Five R (Lobster Cr)","MWCF",1.09,"Least disturbed",2002,0,"",1.04139268515823,2229.71025,1.91457008413434,0.0389871773792359,3.30081279411812,0.0505101499420428,123.8216858,44.2827552,14.9331845230681,1.42889927219073,"E","Attaining","Attaining","Potential Concern","10",14,1.0152349953652,9.35702430383774,0.0261576897930234,-8.31563161867952,"Group 4",20,"Good","Attaining","OLD","NEW","NEW"
"34","02006CSR","26822","26822 2002","Indian Cr","MWCF",0.77,"Most disturbed",2002,0,"",1.07918124604762,2243.75455,2.02920852277011,0.0622896460095897,3.31048089146268,0.14956163897162,123.8046501,44.09708946,15.1657508881031,1.5707963267949,"E","Impaired","Impaired","Impaired","11",14,1.0152349953652,9.35702430383774,0.0639462506824231,-8.27784305779012,"Group 4",20,"Good","Impaired - Unknown Stressor","OLD","NEW","NEW"
"47","02081EMAP","26964","26964 2002","Siuslaw R","MWCF",0.7,"Most disturbed",2002,0,"",1.47712125471966,1272.88863,2.64361538798864,0.0579655069847578,3.14395111642396,0.393679420913273,123.5022359,43.87548769,22.3383079036887,1.47062890563334,"E","Impaired","Impaired","Impaired","29",8,0.77466588484141,4.95204059846906,0.702455369878252,-3.4749193437494,"Group 2",11,"Poor","Impaired - Sediment Stressor","OLD","OLD","OLD"
"49","02085CSR","21791","21791 2002","Big Cr (Rock Cr Wilderness)","MWCF",0.98,"Least disturbed",2002,1,"",0.954242509439325,2300.54983,1.69311807045694,0.073280283842245,3.28712962071911,0.100210702919769,124.1060567,44.17026689,5.09901951359278,0.500179608697487,"R","Attaining","Potential Concern","Potential Concern","8",14,1.0152349953652,9.35702430383774,-0.0609924859258769,-8.40278179439842,"Group 4",20,"Fair","Potential Concern","OLD","NEW","NEW"
"54","02111CSR","26826","26826 2002","Ericson Creek","MWCF",0.92,"Least disturbed",2002,0,"",0.698970004336019,2521.37,1.17715831154406,0.183820564681975,3.43296929087441,0.16858788367694,123.9440961,44.96543266,19.3390796058137,0.835481873978228,"R","Attaining","Attaining","Attaining","4",14,1.0152349953652,9.35702430383774,-0.316264991029183,-8.65805429950172,"Group 4",20,"Fair","Attaining","OLD","OLD","OLD"
"57","02123CSRa","21790","21790 2002","Elkhorn Creek at RM 1.56","MWCF",1.02,"Least disturbed",2002,0,"",1.11394335230684,2124.81557,1.14686137385629,0.103923048454133,3.31973049433022,0.0571545095575216,123.9890525,44.50037836,9.89949493661167,1.34528292089677,"E","Attaining","Attaining","Attaining","12",14,1.0152349953652,9.35702430383774,0.0987083569416349,-8.2430809515309,"Group 4",20,"Good","Attaining","OLD","NEW","NEW"
"60","02138CSR","26822","26822 2002","Indian Cr","MWCF",0.78,"Most disturbed",2002,0,"",1.32221929473392,2243.75455,2.02920852277011,0.0622896460095897,3.31048089146268,0.14956163897162,123.8046501,44.09708946,15.1657508881031,1.5707963267949,"E","Impaired","Impaired","Impaired","20",14,1.0152349953652,9.35702430383774,0.306984299368718,-8.03480500910382,"Group 4",20,"Poor","Impaired - Sediment Stressor","OLD","OLD","OLD"
"61","02140CSR","26816","26816 2002","Siuslaw R","MWCF",0.85,"Most disturbed",2002,0,"",1.32221929473392,1283.66603,2.74302053169503,0.0430116263352131,3.17609125905568,0.305758834560604,123.5991888,43.90452238,19.8494332412792,1.47062890563334,"E","Impaired","Impaired","Impaired","20",8,0.77466588484141,4.95204059846906,0.547553409892509,-3.62982130373514,"Group 2",11,"Poor","Impaired - Sediment Stressor","OLD","OLD","OLD"
"64","03005CSR","29907","29907 2003","Bear Cr (Big Elk Creek)","MWCF",1.02,"Least disturbed",2003,0,"",1.20411998265592,2039.763,1.36823703582245,0.173176210837401,3.29314148345093,0.222767472268902,123.8006946,44.61879588,19.7484176581315,1.47062890563334,"E","Attaining","Attaining","Attaining","15",14,1.0152349953652,9.35702430383774,0.188884987290723,-8.15290432118182,"Group 4",20,"Fair","Attaining","OLD","NEW","NEW"
"67","03008CSR","21792","21792 2003","Montgomery Cr","MWCF",0.57,"Most disturbed",2003,0,"",1.51851393987789,2042.018,0.746862960501525,0.174269905606218,3.27021285489624,0.0565938339102534,123.9300588,44.58060593,9.05538513813742,1.28403977458335,"E","Impaired","Impaired","Impaired","32",14,1.0152349953652,9.35702430383774,0.503278944512686,-7.83851036395985,"Group 4",20,"Poor","Impaired - Sediment Stressor","OLD","NEW","NEW"
"75","03026EMAP","30403","30403 2003","Siuslaw River","MWCF",0.53,"Most disturbed",2003,0,"",1.61278385671974,1327.93905,2.96213980461935,0.0350713558335004,3.19451434188247,0.327580427349507,123.6410923,43.98696421,17.5499287747842,1.47062890563334,"E","Impaired","Impaired","Impaired","40",8,0.77466588484141,4.95204059846906,0.838117971878325,-3.33925674174933,"Group 2",11,"Poor","Impaired - Sediment Stressor","OLD","OLD","OLD"
"77","03036CSR","29895","29895 2003","Wild Cat Cr","MWCF",1.13,"Least disturbed",2003,0,"",1.44715803134222,1533.1287,0.513702247313398,0.071133676975115,3.19200959265367,0.00494614397011092,123.4860372,44.00463722,23.895606290697,1.36943840600457,"E","Attaining","Attaining","Attaining","26",14,1.0152349953652,9.35702430383774,0.431923035977017,-7.90986627249552,"Group 4",20,"Poor","Attaining","OLD","OLD","OLD"
"78","03037CSR","29906","29906 2003","Sweet Cr (Siuslaw)","MWCF",0.7,"Most disturbed",2003,0,"",1.44715803134222,2218.5848,1.95704204926722,0.0148323969741913,3.3142886609475,0.00847584654005308,123.8987084,43.99457863,4.47213595499958,1.32332926362445,"E","Impaired","Impaired","Impaired","27",14,1.0152349953652,9.35702430383774,0.431923035977017,-7.90986627249552,"Group 4",20,"Poor","Impaired - Sediment Stressor","OLD","OLD","OLD"
"79","03038CSR","23821","23821 2003","Buck Creek (Deadwood)","MWCF",1.01,"Least disturbed",2003,0,"",0.954242509439325,2128.535,0.220152561703746,0.24897791066679,3.30535136944662,0.0174189960679312,123.6870096,44.19681741,25.4165300542777,1.47062890563334,"E","Attaining","Potential Concern","Potential Concern","8",14,1.0152349953652,9.35702430383774,-0.0609924859258769,-8.40278179439842,"Group 4",20,"Fair","Potential Concern","OLD","NEW","NEW"
"80","03040CSR","29891","29891 2003","Fawn Creek","MWCF",1.13,"Least disturbed",2003,0,"",1.07918124604762,2380.594,0.310461768486202,0.200224873579683,3.30081279411812,0.0178053427946246,123.7024885,44.21134994,23.259406699226,1.47062890563334,"E","Attaining","Attaining","Attaining","11",14,1.0152349953652,9.35702430383774,0.0639462506824231,-8.27784305779012,"Group 4",20,"Good","Attaining","OLD","OLD","OLD"
"81","03045CSR","29900","29900 2003","Cummins Cr","MWCF",0.93,"Least disturbed",2003,1,"",0.845098040014257,2348.83763,1.58605175728531,0.134499070628759,3.30685374869301,0.2251343548213,124.0981044,44.26676349,9.05538513813742,0.500179608697487,"R","Attaining","Impaired","Attaining","6",14,1.0152349953652,9.35702430383774,-0.170136955350945,-8.51192626382348,"Group 4",20,"Fair","Impaired - Unknown Stressor","OLD","OLD","OLD"
"85","03069CSR","21792","21792 2003","Montgomery Cr","MWCF",0.96,"Least disturbed",2003,0,"",1.55630250076729,2042.018,0.746862960501525,0.174269905606218,3.27021285489624,0.0565938339102534,123.9300588,44.58060593,9.05538513813742,1.28403977458335,"E","Impaired","Impaired","Impaired","35",14,1.0152349953652,9.35702430383774,0.541067505402085,-7.80072180307045,"Group 4",20,"Poor","Impaired - Sediment Stressor","OLD","OLD","OLD"
"88","03088CSR","29907","29907 2003","Bear Cr (Big Elk Creek)","MWCF",0.82,"Most disturbed",2003,0,"",1.38021124171161,2039.763,1.36823703582245,0.173176210837401,3.29314148345093,0.222767472268902,123.8006946,44.61879588,19.7484176581315,1.47062890563334,"E","Attaining","Attaining","Attaining","23",14,1.0152349953652,9.35702430383774,0.364976246346404,-7.97681306212614,"Group 4",20,"Poor","Attaining","OLD","OLD","OLD"
"96","03109CSR","29898","29898 2003","Boulder Cr (Upper Siletz)","MWCF",0.86,"Moderately disturbed",2003,0,"",0.477121254719662,3778.19689,1.89247516739645,0.122351951353462,3.54900326202579,0.333187960370448,123.6954764,44.92172336,31.2089730686545,0.725253222200054,"R","Attaining","Attaining","Potential Concern","2",3,0.44053025593237,1.75759355853577,0.0365909987872928,-1.28047230381611,"Group 1",4,"Good","Attaining","OLD","OLD","OLD"
"97","03110CSR","21791","21791 2003","Big Cr (Rock Cr Wilderness)","MWCF",0.84,"Most disturbed",2003,1,"",0.954242509439325,2300.54983,1.69311807045694,0.073280283842245,3.28712962071911,0.100210702919769,124.1060567,44.17026689,5.09901951359278,0.500179608697487,"R","Impaired","Potential Concern","Potential Concern","8",14,1.0152349953652,9.35702430383774,-0.0609924859258769,-8.40278179439842,"Group 4",20,"Fair","Potential Concern","OLD","NEW","NEW"
"123","04069CSR","21790","21790 2004","Elkhorn Creek at RM 1.56","MWCF",1.11,"Least disturbed",2004,0,"",1.34242268082221,2124.81557,1.14686137385629,0.103923048454133,3.31973049433022,0.0571545095575216,123.9890525,44.50037836,9.89949493661167,1.34528292089677,"E","Attaining","Attaining","Attaining","21",14,1.0152349953652,9.35702430383774,0.327187685457004,-8.01460162301554,"Group 4",20,"Poor","Attaining","OLD","OLD","OLD"
"141","05016CSR","21791","21791 2005","Big Cr (Rock Cr Wilderness)","MWCF",0.84,"Most disturbed",2005,1,"",0.954242509439325,2300.54983,1.69311807045694,0.073280283842245,3.28712962071911,0.100210702919769,124.1060567,44.17026689,5.09901951359278,0.500179608697487,"R","Impaired","Potential Concern","Potential Concern","8",14,1.0152349953652,9.35702430383774,-0.0609924859258769,-8.40278179439842,"Group 4",20,"Fair","Potential Concern","OLD","NEW","NEW"
"143","06002DFW","33319","33319 2006","Rogers Cr","MWCF",1,"Least disturbed",2006,0,"",0.903089986991944,2327.702,0.374817974142649,0.160748250379281,3.31111784266251,0.0151126147210298,123.8862015,44.15886437,20.6639783197718,1.5707963267949,"E","Attaining","Attaining","Attaining","7",14,1.0152349953652,9.35702430383774,-0.112145008373258,-8.4539343168458,"Group 4",20,"Fair","Attaining","OLD","NEW","NEW"
"144","06003DFW","33320","33320 2006","Indian Cr","MWCF",0.79,"Most disturbed",2006,0,"",1.32221929473392,2287.75208,1.58201208585031,0.0515751878329105,3.3096301674259,0.0409739826170339,123.8317221,44.15138389,18.8148877222268,1.5707963267949,"E","Impaired","Impaired","Impaired","20",14,1.0152349953652,9.35702430383774,0.306984299368718,-8.03480500910382,"Group 4",20,"Poor","Impaired - Sediment Stressor","OLD","OLD","OLD"
"145","06004DFW","33345","33345 2006","Lobster Cr","MWCF",1.15,"Least disturbed",2006,0,"",1,2539.30446,0.914497063699403,0.128607931326182,3.29047981333067,0.0489470977964042,123.6391586,44.25650871,23.832750575626,1.42889927219073,"E","Attaining","Attaining","Attaining","9",14,1.0152349953652,9.35702430383774,-0.0152349953652018,-8.35702430383774,"Group 4",20,"Fair","Attaining","OLD","OLD","OLD"
"146","06005DFW","23821","23821 2006","Buck Creek (Deadwood)","MWCF",1.25,"Enriched",2006,0,"",0.954242509439325,2128.535,0.220152561703746,0.24897791066679,3.30535136944662,0.0174189960679312,123.6870096,44.19681741,25.4165300542777,1.47062890563334,"E","Potential Concern","Potential Concern","Potential Concern","8",14,1.0152349953652,9.35702430383774,-0.0609924859258769,-8.40278179439842,"Group 4",20,"Fair","Potential Concern","OLD","OLD","OLD"
"147","06006DFW","33323","33323 2006","Lamb Cr","MWCF",1.14,"Least disturbed",2006,0,"",1.07918124604762,1819.077,0.167057271085927,0.245621660282639,3.23603314711764,0.012120684711501,123.6006539,44.1411774,23.6220236220354,1.34528292089677,"E","Attaining","Attaining","Attaining","11",14,1.0152349953652,9.35702430383774,0.0639462506824231,-8.27784305779012,"Group 4",20,"Good","Attaining","OLD","OLD","OLD"
"148","06008DFW","33326","33326 2006","Panther Cr","MWCF",0.88,"Moderately disturbed",2006,0,"",1.43136376415899,1413.00923,1.25860328480218,0.0928977932999487,3.15381486434453,0.0599063050995017,123.3822984,43.94566215,28.5306852353742,1.47062890563334,"E","Attaining","Attaining","Potential Concern","26",14,1.0152349953652,9.35702430383774,0.416128768793786,-7.92566053967875,"Group 4",20,"Poor","Attaining","OLD","OLD","OLD"
"149","06009DFW","33332","33332 2006","Buck Cr, Trib B","MWCF",0.95,"Least disturbed",2006,0,"",1.30102999566398,1288.45,0.973052076462531,0.185499326144329,3.13353890837022,0.11024872869938,123.3921896,43.82306388,26.2488094968134,1.47062890563334,"E","Attaining","Attaining","Attaining","19",14,1.0152349953652,9.35702430383774,0.285795000298779,-8.05599430817376,"Group 4",20,"Fair","Attaining","OLD","OLD","OLD"
"150","06010DFW","33331","33331 2006","Jeans Cr","MWCF",0.85,"Most disturbed",2006,0,"",1.30102999566398,1292.435,0.682476314004767,0.236072022908264,3.14113609012074,0.0836945803523179,123.455315,43.86596133,23.3452350598575,1.47062890563334,"E","Impaired","Impaired","Impaired","19",14,1.0152349953652,9.35702430383774,0.285795000298779,-8.05599430817376,"Group 4",20,"Fair","Impaired - Unknown Stressor","OLD","OLD","OLD"
"151","06011DFW","33333","33333 2006","Simpson Cr","MWCF",0.76,"Most disturbed",2006,0,"",1.38021124171161,1282.656,0.502207185651745,0.262488094968134,3.12678057701201,0.0607322317160067,123.3602748,43.85448461,24.2280828791714,1.47062890563334,"E","Impaired","Impaired","Impaired","23",14,1.0152349953652,9.35702430383774,0.364976246346404,-7.97681306212614,"Group 4",20,"Poor","Impaired - Sediment Stressor","OLD","OLD","OLD"
"152","06013DFW","33328","33328 2006","Clay Cr","MWCF",1.15,"Least disturbed",2006,0,"",1.23044892137827,1340.01,0.941501991347391,0.170909332688417,3.16938049531195,0.0885187550805347,123.5662899,43.90295158,20.8086520466848,1.47062890563334,"E","Attaining","Attaining","Attaining","16",14,1.0152349953652,9.35702430383774,0.215213926013072,-8.12657538245947,"Group 4",20,"Fair","Attaining","OLD","OLD","OLD"
