STATION_KEY,SITE_NAME,Year_Sampled,FSS,Q75TH,HU_8_NAME,DATE
21792,Montgomery Cr,1999,36,14,Siletz-Yaquina,8/30/1999
21792,Montgomery Cr,2003,32,14,Siletz-Yaquina,6/25/2003
21792,Montgomery Cr,2003,35,14,Siletz-Yaquina,8/21/2003
25297,Siuslaw River at RM 76.2,2001,20,14,Siuslaw,8/15/2001
25297,Siuslaw River at RM 76.2,2007,23,14,Siuslaw,8/29/2007
26816,Siuslaw R,2002,20,8,Siuslaw,10/2/2002
26818,Siletz River South Fork,2002,21,7,Siletz-Yaquina,6/24/2002
26822,Indian Cr,2002,20,14,Siuslaw,10/1/2002
26964,Siuslaw R,2002,29,8,Siuslaw,8/19/2002
29906,Sweet Cr (Siuslaw),2003,27,14,Siuslaw,7/22/2003
30403,Siuslaw River,2003,40,8,Siuslaw,9/16/2003
33320,Indian Cr,2006,20,14,Siuslaw,9/21/2006
33327,"Esmond Cr, Trib A",2006,22,14,Siuslaw,8/30/2006
33329,Bear Cr,2009,21,14,Siuslaw,8/5/2009
33333,Simpson Cr,2006,23,14,Siuslaw,9/11/2006
33361,"Siletz R, S Fk",2006,9,3,Siletz-Yaquina,9/7/2006
34645,Russell Cr at RM 0.20,2009,29,14,Siuslaw,9/10/2009
34660,Oliver Cr at RM 0.63,2007,50,14,Alsea,9/10/2007
34665,Siuslaw R at RM 57.02,2007,28,14,Siuslaw,9/19/2007
34695,Fivemile Cr at Mouth,2007,21,14,Siltcoos,8/27/2007
37179,Deer Creek at RM 2.41,2012,42,14,Siletz-Yaquina,9/19/2012
dfw_2464,Pittenger Cr,2008,20,14,Siuslaw,8/20/2008
dfw_2492,Wolf Cr at RM 3.12 (Umpqua),2008,11,8,Siuslaw,9/9/2008
dfw_2891,Flynn Cr.,2009,46,14,Alsea,8/11/2009
dfw_3285,West Olla Cr Trib A,2008,45,14,Siletz-Yaquina,9/25/2008
dfw_35004,Alsea River,2009,21,14,Alsea,8/24/2009
dfw_36277,Sweet Cr.,2009,38,14,Siuslaw,9/21/2009
dfw_39965,Sutton Cr.,2009,35,14,Alsea,8/25/2009
dfw_6041,Five Mile Cr,2008,25,14,Siltcoos,9/3/2008
