"","pid","STATION_KEY","NHDP21_COM","POURID","SITE_NAME","HU_6_NAME","HU_8_NAME","HU_10_NAME","HU_12_NAME","HU_08","HU_10","HU_12","LONG_RAW","LAT_RAW","NHDHigh","NHDh_Reach","NHDP21_Rea","NHDP12_COM","RESOLUTION","ECO3_NAME","VERSION","X","Y","NEAR_FID","NEAR_DIST","NEAR_X","NEAR_Y","NEAR_ANGLE","rid","ratio","upDist","afvArea","locID","netID","ORIG_FID","log10_pred","sum_1095_days","XSLOPE_MAP","MIN_Z","OWN_FED_PRCA","DIS_1YR_PARSA","HDWTR","log10_BSTI.predSE","log10_obs","log10_pred_uci","log10_pred_lci","obs","pred","pred_uci","pred_lci","Sed_Stressor","pr_target"
"179",941,"dfw_6041",23893325,340,"Five Mile Cr","Northern Oregon Coastal","Siltcoos","Siltcoos River-Frontal Pacific Ocean","Tahkenitch Lake-Frontal Pacific Ocean",17100207,171002070,171002070104,-124.0106,43.83665,NA,"NA",1.7100207e+13,23893325,"Medium","Coast Range","SSN_ALL_20140822",-2211510,2644380,11957,0,-2211510,2644380,0,11956,0.479837888456,22977.0032304,0.117818039536,"1080","26",370,1.27266051757023,-0.00173894919024276,-0.406414491806152,-0.511527481958079,0.300113383902797,-0.192068737167937,"0",0.161699551627455,1.39794000867204,1.53863261154107,1.00668842359938,25,19,35,10,TRUE,24
"57",819,"dfw_39983",23881038,147,"Drift Cr.","Northern Oregon Coastal","Siletz-Yaquina","Lower Siletz River-Frontal Pacific Ocean","Lower Drift Creek",17100204,171002040,171002040707,-123.9651,44.9059,NA,"NA",17100204000200,23881038,"Medium","Coast Range","SSN_ALL_20140822",-2173470,2757360,9033,0,-2173470,2757360,0,9032,0.96,9347.34631461,0.103062121205,"1047","21",168,0.968612478686105,0.137416221531376,-0.384632046070074,-0.545786244588755,0.300113383902797,-0.192068737167937,"0",0.176408833576623,1.17609125905568,1.25877918842089,0.678445768951317,15,9,18,5,TRUE,40
"116",878,"dfw_39965",23886104,266,"Sutton Cr.","Northern Oregon Coastal","Alsea","Tenmile Creek-Frontal Pacific Ocean","Mercer Lake-Frontal Pacific Ocean",17100205,171002050,171002050704,-124.1176,44.06741,NA,"NA",1.7100205e+13,23886104,"Medium","Coast Range","SSN_ALL_20140822",-2212200,2671530,14347,0,-2212200,2671530,0,14346,0.161165235168,2205.36579927,0.971928649993,"1043","33",227,1.29990811432552,-0.164627571733004,-0.408290439177951,-0.558094045570528,0.300113383902797,-0.192068737167937,"0",0.179645996803521,1.54406804435028,1.5953994837351,1.00441674491593,35,20,39,10,TRUE,42.9
"135",897,"dfw_35004",23886392,240,"Alsea River","Northern Oregon Coastal","Alsea","Lower Alsea River","Cow Creek-Alsea River",17100205,171002050,171002050402,-123.6843,44.35326,NA,"NA",17100205000100,23886392,"Medium","Coast Range","SSN_ALL_20140822",-2170020,2691990,9701,0,-2170020,2691990,0,9700,0.241405579018,67965.4967058,0.335757837628,"1020","16",246,1.08392995657475,-0.20789814194038,-0.403588918019352,-0.326014382043918,0.300113383902797,-0.192068737167937,"0",0.173331154599814,1.32221929473392,1.36903433488194,0.798825578267556,21,12,23,6,TRUE,42.9
"100",862,"dfw_3285",23881892,178,"West Olla Cr Trib A","Northern Oregon Coastal","Siletz-Yaquina","Lower Yaquina River","Ollala Creek-Yaquina River",17100204,171002040,171002040301,-123.9246,44.66233,NA,"NA",17100204000600,23881892,"Medium","Coast Range","SSN_ALL_20140822",-2178270,2730510,10502,0,-2178270,2730510,0,10501,0.298554586189,32695.268376,0.00472833652338,"1016","24",211,1.33712352906461,-0.355520315785295,-0.216829267132176,-0.504760239021429,0.300113383902797,-0.192068737167937,"1",0.180547858154823,1.65321251377534,1.63409832838889,1.04014872974033,45,22,43,11,TRUE,51.1
"396",1163,"dfw_2891",23887124,243,"Flynn Cr.","Northern Oregon Coastal","Alsea","Drift Creek","Middle Drift Creek",17100205,171002050,171002050302,-123.8595,44.52615,NA,"NA",17100205000500,23887124,"Medium","Coast Range","SSN_ALL_20140822",-2177700,2714490,11361,0,-2177700,2714490,0,11360,0.262750807284,46193.3820025,0.00663179013589,"1011","16",283,1.31015949477425,-0.194866529083875,-0.360110611302764,0.0185559291770816,0.300113383902797,-0.192068737167937,"0",0.167106367707644,1.66275783168157,1.58502500978485,1.03529397976365,46,20,38,11,TRUE,56.5
"162",924,"dfw_2464",23890332,371,"Pittenger Cr","Northern Oregon Coastal","Siuslaw","Wolf Creek","Lower Wolf Creek",17100206,171002060,171002060102,-123.5452,43.97133,NA,"NA",17100206000400,23890332,"Medium","Coast Range","SSN_ALL_20140822",-2171460,2648040,15808,0,-2171460,2648040,0,15807,0.551092486804,103113.012922,0.00129262764264,"1006","34",353,1.27665753337845,-0.46543711736927,-0.312533456259115,0.0918275859018867,0.300113383902797,-0.192068737167937,"1",0.174509714808156,1.30102999566398,1.56370047071891,0.989614596037985,20,19,37,10,TRUE,5
"357",1124,"CTSI_NA2",23880896,187,"Little Rock Creek at mouth","Northern Oregon Coastal","Siletz-Yaquina","Rock Creek","Little Rock Creek",17100204,171002040,171002040601,-123.718538,44.724691,NA,"NA",17100204000100,23880896,"Medium","Coast Range","SSN_ALL_20140822",-2160660,2732430,10457,0,-2160660,2732430,0,10456,0.324066496568,92296.8397645,0.0669771390764,"976","21",160,0.735443060626064,0.130408963327737,-0.327345095408755,-0.290318150476625,0.300113383902797,-0.192068737167937,"0",0.16567908383065,0.778151250383644,1.00796090257491,0.462925218677222,6,5,10,3,TRUE,16.7
"66",828,"CTSI_28",23881134,190,"Sam's Creek mouth","Northern Oregon Coastal","Siletz-Yaquina","Lower Siletz River-Frontal Pacific Ocean","Sam Creek-Siletz River",17100204,171002040,171002040701,-123.847,44.73058,NA,"NA",17100204000200,23881134,"Medium","Coast Range","SSN_ALL_20140822",-2170200,2735970,6966,0,-2170200,2735970,0,6965,0.119461475447,78592.2899888,0.0447788828205,"971","21",177,0.799642799261752,-0.0822515547019102,-0.241706757028298,-0.395048762496731,0.300113383902797,-0.192068737167937,"0",0.169553846304367,0.845098040014257,1.07853405831906,0.520751540204441,7,6,12,3,TRUE,14.3
"352",1119,"37188",23880690,247,"Big Elk Creek at RM 12.77","Northern Oregon Coastal","Siletz-Yaquina","Big Elk Creek","Lower Big Elk Creek",17100204,171002040,171002040203,-123.793623,44.553246,NA,"NA",1.7100204e+13,23880690,"Medium","Coast Range","SSN_ALL_20140822",-2171850,2715840,11286,0,-2171850,2715840,0,11285,0.479141082116,59042.3073198,0.299401600398,"958","24",155,1.03526665296969,0.0456248132951039,-0.404842993039654,-0.446686183732234,0.300113383902797,-0.192068737167937,"0",0.173478383361308,1.17609125905568,1.32061320103921,0.74992010490016,15,11,21,6,TRUE,26.7
