"STATION_KEY","SITE_NAME","BSTI","SSN_Target","CART_Target","CART_Sed_Stressor","SSN_PR_Target","SSN_Sed_Stressor","agree"
"21792","Montgomery Cr",36,19,20,FALSE,47.2,TRUE,FALSE
"23826","Deadwood Creek at RM 5.2 (Lake, Siuslaw)",10,10,20,FALSE,0,FALSE,TRUE
"25297","Siuslaw River at RM 76.2",23,17,20,FALSE,26.1,TRUE,FALSE
"26816","Siuslaw R",20,18,11,TRUE,10,TRUE,TRUE
"26818","Siletz River South Fork",21,11,9,TRUE,47.6,TRUE,TRUE
"26822","Indian Cr",20,13,20,FALSE,35,TRUE,FALSE
"26964","Siuslaw R",29,21,11,TRUE,27.6,TRUE,TRUE
"29898","Boulder Cr (Upper Siletz)",2,3,4,FALSE,50,FALSE,TRUE
"29900","Cummins Cr",6,7,20,FALSE,16.7,FALSE,TRUE
"29906","Sweet Cr (Siuslaw)",27,16,20,FALSE,40.7,TRUE,FALSE
"30403","Siuslaw River",40,22,11,TRUE,45,TRUE,TRUE
"32594","Tenmile Creek",5,5,20,FALSE,0,FALSE,TRUE
"33320","Indian Cr",20,15,20,FALSE,25,TRUE,FALSE
"33325","Wolf Cr",18,15,20,FALSE,16.7,TRUE,FALSE
"33327","Esmond Cr, Trib A",22,15,20,FALSE,31.8,TRUE,FALSE
"33329","Bear Cr",21,18,20,FALSE,14.3,TRUE,FALSE
"33331","Jeans Cr",19,16,20,FALSE,15.8,TRUE,FALSE
"33333","Simpson Cr",23,21,20,TRUE,8.7,TRUE,TRUE
"33361","Siletz R, S Fk",9,6,4,TRUE,33.3,TRUE,TRUE
"33363","Drift Cr",9,7,11,FALSE,22.2,TRUE,FALSE
"34521","Needle Branch",15,13,20,FALSE,13.3,TRUE,FALSE
"34645","Russell Cr at RM 0.20",29,18,20,FALSE,37.9,TRUE,FALSE
"34659","Beaver Cr NF at RM 3.06",15,13,20,FALSE,13.3,TRUE,FALSE
"34660","Oliver Cr at RM 0.63",50,21,20,TRUE,58,TRUE,TRUE
"34665","Siuslaw R at RM 57.02",28,19,20,FALSE,32.1,TRUE,FALSE
"34670","Potato Patch Cr at RM 0.97",13,14,20,FALSE,7.7,FALSE,TRUE
"34672","Deer Cr at Mouth",4,3,11,FALSE,25,TRUE,FALSE
"34695","Fivemile Cr at Mouth",21,20,20,FALSE,4.8,TRUE,FALSE
"37161","North Fork Siuslaw River at RM 24.38",5,6,20,FALSE,20,FALSE,TRUE
"37165","McLeod Creek at RM 2.1",12,10,20,FALSE,16.7,TRUE,FALSE
"37176","Big Elk Creek at RM 29.84",6,6,20,FALSE,0,FALSE,TRUE
"37179","Deer Creek at RM 2.41",42,18,20,FALSE,57.1,TRUE,FALSE
"37181","Cougar Creek at RM 0.26",7,9,20,FALSE,28.6,FALSE,TRUE
"37185","Morris Creek at RM 3.82",15,13,20,FALSE,13.3,TRUE,FALSE
"37188","Big Elk Creek at RM 12.77",15,11,20,FALSE,26.7,TRUE,FALSE
"CTSI_22","Cedar Creek at mouth",5,5,20,FALSE,0,FALSE,TRUE
"CTSI_23","Euchre Creek at mouth",4,4,20,FALSE,0,FALSE,TRUE
"CTSI_28","Sam's Creek mouth",7,6,20,FALSE,14.3,TRUE,FALSE
"CTSI_30","Mill Creek at mouth (Logsden)",6,6,20,FALSE,0,FALSE,TRUE
"CTSI_55","North Fork Siletz River just upstream of Warnicke Creek",1,2,4,FALSE,100,FALSE,TRUE
"CTSI_NA1","Big Rock Creek at mouth",4,4,20,FALSE,0,FALSE,TRUE
"CTSI_NA2","Little Rock Creek at mouth",6,5,20,FALSE,16.7,TRUE,FALSE
"dfw_1998","McLeod Cr.",8,10,20,FALSE,25,FALSE,TRUE
"dfw_2464","Pittenger Cr",20,19,20,FALSE,5,TRUE,FALSE
"dfw_2492","Wolf Cr at RM 3.12 (Umpqua)",11,12,11,TRUE,9.1,FALSE,FALSE
"dfw_2891","Flynn Cr.",46,20,20,FALSE,56.5,TRUE,FALSE
"dfw_3285","West Olla Cr Trib A",45,22,20,TRUE,51.1,TRUE,TRUE
"dfw_35004","Alsea River",21,12,20,FALSE,42.9,TRUE,FALSE
"dfw_35429","Salmon R",2,3,11,FALSE,50,FALSE,TRUE
"dfw_39721","Big Cr",7,7,20,FALSE,0,FALSE,TRUE
"dfw_39965","Sutton Cr.",35,20,20,FALSE,42.9,TRUE,FALSE
"dfw_39983","Drift Cr.",15,9,20,FALSE,40,TRUE,FALSE
"dfw_39988","Haight",17,17,20,FALSE,0,FALSE,TRUE
"dfw_6041","Five Mile Cr",25,19,20,FALSE,24,TRUE,FALSE
