"","formula","EstMethod","Variance_Components","neg2LogL","AIC","bias","std.bias","RMSPE","RAV","std.MSPE","cov.80","cov.90","cov.95"
"1","log10_FSS_26Aug14 ~ LAT_RAW + sum_1095_days + XSLOPE_MAP + MIN_Z + STRMPWR + PDISRSA_1YR + POWNRCA_PRI + PALITHERODRCA + PACLAYRCA + PASILTRCA + PASUSCEP5_DE + DAROADX + DAPOPRCA2010 + PAOWNRCA_AGR","ML","Exponential.tailup + Exponential.taildown + Exponential.Euclid + locID + Nugget",-1262.3215636386,-1216.3215636386,-0.00791263675151468,-0.00337161147813583,0.228025068533858,0.513951565164429,1.0020229676661,0.826309067688378,0.906768837803321,0.945083014048531
"2","log10_FSS_26Aug14 ~ sum_1095_days + XSLOPE_MAP + MIN_Z + STRMPWR + PDISRSA_1YR + POWNRCA_PRI + PALITHERODRCA + PACLAYRCA + PASILTRCA + PASUSCEP5_DE + DAROADX + DAPOPRCA2010 + PAOWNRCA_AGR","ML","Exponential.tailup + Exponential.taildown + Exponential.Euclid + locID + Nugget",-1261.67830600144,-1217.67830600144,-0.00838214441741967,-0.00347310385765544,0.240095596579615,0.513879716174012,1.00203352070925,0.827586206896552,0.906768837803321,0.945083014048531
"3","log10_FSS_26Aug14 ~ sum_1095_days + MIN_Z + STRMPWR + PDISRSA_1YR + POWNRCA_PRI + PALITHERODRCA + PACLAYRCA + PASILTRCA + PASUSCEP5_DE + DAROADX + DAPOPRCA2010 + PAOWNRCA_AGR","ML","Exponential.tailup + Exponential.taildown + Exponential.Euclid + locID + Nugget",-1261.54497082875,-1219.54497082875,-0.00908310393512273,-0.00357757005630314,0.25909493684333,0.509258447635477,1.00101686340309,0.830140485312899,0.905491698595147,0.945083014048531
"4","log10_FSS_26Aug14 ~ sum_1095_days + MIN_Z + STRMPWR + PDISRSA_1YR + POWNRCA_PRI + PALITHERODRCA + PACLAYRCA + PASILTRCA + DAROADX + DAPOPRCA2010 + PAOWNRCA_AGR","ML","Exponential.tailup + Exponential.taildown + Exponential.Euclid + locID + Nugget",-1261.33137631465,-1221.33137631465,-0.00905035713848069,-0.00352420825915838,0.258854563672496,0.509209579925623,1.00024019476837,0.831417624521073,0.906768837803321,0.945083014048531
"5","log10_FSS_26Aug14 ~ sum_1095_days + MIN_Z + STRMPWR + PDISRSA_1YR + POWNRCA_PRI + PALITHERODRCA + PACLAYRCA + PASILTRCA + DAPOPRCA2010 + PAOWNRCA_AGR","ML","Exponential.tailup + Exponential.taildown + Exponential.Euclid + locID + Nugget",-1260.97472166414,-1222.97472166414,-0.000592262985418584,-0.00129561671163944,0.103693578439387,0.104060653018766,1.00008910341093,0.831417624521073,0.908045977011494,0.945083014048531
"6","log10_FSS_26Aug14 ~ sum_1095_days + STRMPWR + PDISRSA_1YR + POWNRCA_PRI + PALITHERODRCA + PACLAYRCA + PASILTRCA + DAROADX + DAPOPRCA2010 + PAOWNRCA_AGR","ML","Exponential.tailup + Exponential.taildown + Exponential.Euclid + locID + Nugget",-1260.78571525009,-1222.78571525009,-0.00949755302738431,-0.00362410477956701,0.270633569829497,0.509012079355107,0.997974877576679,0.832694763729246,0.911877394636015,0.946360153256705
"7","log10_FSS_26Aug14 ~ sum_1095_days + STRMPWR + PDISRSA_1YR + POWNRCA_PRI + PALITHERODRCA + PACLAYRCA + PASILTRCA + DAPOPRCA2010 + PAOWNRCA_AGR","ML","Exponential.tailup + Exponential.taildown + Exponential.Euclid + locID + Nugget",-1260.41939852476,-1224.41939852476,-0.000577621218353364,-0.00127144016822849,0.103398015134862,0.1039655001839,0.997657676070169,0.83397190293742,0.910600255427842,0.946360153256705
"8","log10_FSS_26Aug14 ~ sum_1095_days + STRMPWR + PDISRSA_1YR + POWNRCA_PRI + PALITHERODRCA + PACLAYRCA + PASILTRCA + DAROADX + DAPOPRCA2010","ML","Exponential.tailup + Exponential.taildown + Exponential.Euclid + locID + Nugget",-1259.79107347551,-1223.79107347551,-0.00995332590797472,-0.00392170589978115,0.27989971758958,0.50940414136179,0.997151001427561,0.827586206896552,0.910600255427842,0.945083014048531
"9","log10_FSS_26Aug14 ~ sum_1095_days + STRMPWR + PDISRSA_1YR + POWNRCA_PRI + PALITHERODRCA + PACLAYRCA + PASILTRCA + DAPOPRCA2010 + PAOWNRCA_AGR","ML","Exponential.tailup + Exponential.taildown + Exponential.Euclid + locID + Nugget",-1260.41939852476,-1224.41939852476,-0.000577621218353364,-0.00127144016822849,0.103398015134862,0.1039655001839,0.997657676070169,0.83397190293742,0.910600255427842,0.946360153256705
"10","log10_FSS_26Aug14 ~ sum_1095_days + STRMPWR + PDISRSA_1YR + POWNRCA_PRI + PALITHERODRCA + PACLAYRCA + PASILTRCA + DAPOPRCA2010","ML","Exponential.tailup + Exponential.taildown + Exponential.Euclid + locID + Nugget",-1259.45356371161,-1225.45356371161,-0.000675186314599567,-0.00147399812283158,0.103336085037196,0.103956834908738,0.996886783574395,0.828863346104725,0.910600255427842,0.943805874840358
"11","log10_FSS_26Aug14 ~ sum_1095_days + PDISRSA_1YR + POWNRCA_PRI + PALITHERODRCA + PACLAYRCA + PASILTRCA + DAPOPRCA2010","ML","Exponential.tailup + Exponential.taildown + Exponential.Euclid + locID + Nugget",-1258.24009794953,-1226.24009794953,-0.000482734664540737,-0.00112004215192975,0.103099178688681,0.103845689134429,0.995507394107746,0.827586206896552,0.913154533844189,0.945083014048531
"12","log10_FSS_26Aug14 ~ sum_1095_days + PDISRSA_1YR + POWNRCA_PRI + PALITHERODRCA + PASILTRCA + DAPOPRCA2010","ML","Exponential.tailup + Exponential.taildown + Exponential.Euclid + locID + Nugget",-1255.34074125003,-1225.34074125003,-0.000459591872616918,-0.00106492778376285,0.103099196758028,0.104056974117071,0.992968738331997,0.825031928480204,0.910600255427842,0.943805874840358
